"","trt","treatment","rep","start_day","time","event"
"496","GDH-19","GDH","19",42531,18,1
"497","GDH-19","GDH","19",42531,18,1
"498","GDH-19","GDH","19",42531,18,1
"499","GDH-19","GDH","19",42531,18,1
"500","GDH-19","GDH","19",42531,18,1
"501","GDH-19","GDH","19",42531,18,1
"502","GDH-19","GDH","19",42531,18,1
"503","GDH-19","GDH","19",42531,18,1
"504","GDH-19","GDH","19",42531,18,1
"505","GDH-19","GDH","19",42531,18,1
"506","GDH-19","GDH","19",42531,18,1
"507","GDH-19","GDH","19",42531,18,1
"508","GDH-19","GDH","19",42531,18,1
"509","GDH-19","GDH","19",42531,18,1
"510","GDH-19","GDH","19",42531,18,1
"511","GDH-19","GDH","19",42531,18,1
"512","GDH-19","GDH","19",42531,18,1
"513","GDH-19","GDH","19",42531,18,1
"514","GNDH-11","GNDH","11",42529,20,1
"515","GNDH-11","GNDH","11",42529,20,1
"516","GNDH-11","GNDH","11",42529,20,1
"517","GNDH-11","GNDH","11",42529,20,1
"518","GNDH-11","GNDH","11",42529,20,1
"519","GNDH-11","GNDH","11",42529,20,1
"520","GNDH-12","GNDH","12",42529,20,1
"521","GNDH-12","GNDH","12",42529,20,1
"522","GNDH-12","GNDH","12",42529,20,1
"523","GNDH-12","GNDH","12",42529,20,1
"524","GNDH-12","GNDH","12",42529,20,1
"525","GNDH-12","GNDH","12",42529,20,1
"526","GNDH-12","GNDH","12",42529,20,1
"527","GNDH-12","GNDH","12",42529,20,1
"528","GNDH-12","GNDH","12",42529,20,1
"529","GNDH-12","GNDH","12",42529,20,1
"530","GNDH-12","GNDH","12",42529,20,1
"531","GNDH-12","GNDH","12",42529,20,1
"532","GNDH-12","GNDH","12",42529,20,1
"533","GNDH-12","GNDH","12",42529,20,1
"534","GNDH-12","GNDH","12",42529,20,1
"535","GNDH-12","GNDH","12",42529,20,1
"536","GNDH-12","GNDH","12",42529,20,1
"537","GNDH-12","GNDH","12",42529,20,1
"538","GNDH-13","GNDH","13",42529,20,1
"539","GNDH-13","GNDH","13",42529,20,1
"540","GNDH-13","GNDH","13",42529,20,1
"541","GNDH-13","GNDH","13",42529,20,1
"542","GNDH-13","GNDH","13",42529,20,1
"543","GNDH-13","GNDH","13",42529,20,1
"544","GNDH-13","GNDH","13",42529,20,1
"545","GNDH-13","GNDH","13",42529,20,1
"546","GNDH-14","GNDH","14",42530,19,1
"547","GNDH-14","GNDH","14",42530,19,1
"548","GNDH-14","GNDH","14",42530,19,1
"549","GNDH-14","GNDH","14",42530,19,1
"550","GNDH-14","GNDH","14",42530,19,1
"551","GNDH-14","GNDH","14",42530,19,1
"552","GNDH-14","GNDH","14",42530,19,1
"553","GNDH-14","GNDH","14",42530,19,1
"554","GNDH-15","GNDH","15",42530,19,1
"555","GNDH-16","GNDH","16",42530,19,1
"556","GNDH-19","GNDH","19",42531,18,1
"557","SDR-16","SDR","16",42530,19,1
"558","SDR-16","SDR","16",42530,19,1
"559","SDR-16","SDR","16",42530,19,1
"560","SDR-17","SDR","17",42531,18,1
"561","PVEC-13","PVEC","13",42529,20,1
"562","PVEC-13","PVEC","13",42529,20,1
"563","PVEC-13","PVEC","13",42529,20,1
"564","PVEC-16","PVEC","16",42530,19,1
"565","PVEC-17","PVEC","17",42531,18,1
"566","PVEC-17","PVEC","17",42531,18,1
"567","PVEC-17","PVEC","17",42531,18,1
"568","Ax-13","Ax","13",42529,20,1
"569","Gno-11","Gno","11",42529,20,1
"570","Gno-14","Gno","14",42530,19,1
"571","Gno-14","Gno","14",42530,19,1
"572","Gno-14","Gno","14",42530,19,1
"573","7636-11","7636","11",42529,20,1
"574","7636-12","7636","12",42529,20,1
"575","7636-15","7636","15",42530,19,1
"576","10862-11","10862","11",42529,20,1
"577","10862-12","10862","12",42529,20,1
"578","10862-13","10862","13",42529,20,1
"579","10862-13","10862","13",42529,20,1
"580","10862-13","10862","13",42529,20,1
"581","10862-14","10862","14",42530,19,1
"582","10862-14","10862","14",42530,19,1
"583","10862-16","10862","16",42530,19,1
"584","1a-11","1a","11",42529,22,1
"585","1a-16","1a","16",42530,21,1
"586","1a-16","1a","16",42530,21,1
"587","1a-16","1a","16",42530,21,1
"588","1a-16","1a","16",42530,21,1
"589","1a-16","1a","16",42530,21,1
"590","1a-18","1a","18",42531,20,1
"591","1a-19","1a","19",42531,20,1
"592","1a-19","1a","19",42531,20,1
"593","2b-17","2b","17",42531,20,1
"594","2b-18","2b","18",42531,20,1
"595","2b-18","2b","18",42531,20,1
"596","2b-18","2b","18",42531,20,1
"597","2b-18","2b","18",42531,20,1
"598","2b-19","2b","19",42531,20,1
"599","3c-11","3c","11",42529,22,1
"600","3c-12","3c","12",42529,22,1
"601","3c-12","3c","12",42529,22,1
"602","3c-12","3c","12",42529,22,1
"603","3c-12","3c","12",42529,22,1
"604","3c-12","3c","12",42529,22,1
"605","3c-13","3c","13",42529,22,1
"606","3c-13","3c","13",42529,22,1
"607","3c-14","3c","14",42530,21,1
"608","3c-14","3c","14",42530,21,1
"609","3c-14","3c","14",42530,21,1
"610","3c-14","3c","14",42530,21,1
"611","3c-14","3c","14",42530,21,1
"612","3c-15","3c","15",42530,21,1
"613","3c-15","3c","15",42530,21,1
"614","3c-15","3c","15",42530,21,1
"615","3c-15","3c","15",42530,21,1
"616","3c-15","3c","15",42530,21,1
"617","3c-16","3c","16",42530,21,1
"618","3c-16","3c","16",42530,21,1
"619","3c-16","3c","16",42530,21,1
"620","3c-16","3c","16",42530,21,1
"621","3c-16","3c","16",42530,21,1
"622","3c-16","3c","16",42530,21,1
"623","3c-16","3c","16",42530,21,1
"624","3c-16","3c","16",42530,21,1
"625","3c-16","3c","16",42530,21,1
"626","3c-16","3c","16",42530,21,1
"627","3c-16","3c","16",42530,21,1
"628","3c-16","3c","16",42530,21,1
"629","3c-16","3c","16",42530,21,1
"630","3c-16","3c","16",42530,21,1
"631","3c-16","3c","16",42530,21,1
"632","3c-18","3c","18",42531,20,1
"633","3c-18","3c","18",42531,20,1
"634","3c-18","3c","18",42531,20,1
"635","3c-18","3c","18",42531,20,1
"636","3c-19","3c","19",42531,20,1
"637","3c-19","3c","19",42531,20,1
"638","3c-19","3c","19",42531,20,1
"639","3c-19","3c","19",42531,20,1
"640","3c-19","3c","19",42531,20,1
"641","3c-19","3c","19",42531,20,1
"642","3c-19","3c","19",42531,20,1
"643","3c-19","3c","19",42531,20,1
"644","4d-11","4d","11",42529,22,1
"645","4d-11","4d","11",42529,22,1
"646","4d-11","4d","11",42529,22,1
"647","4d-11","4d","11",42529,22,1
"648","4d-12","4d","12",42529,22,1
"649","4d-12","4d","12",42529,22,1
"650","4d-12","4d","12",42529,22,1
"651","4d-12","4d","12",42529,22,1
"652","4d-13","4d","13",42529,22,1
"653","4d-13","4d","13",42529,22,1
"654","4d-13","4d","13",42529,22,1
"655","4d-13","4d","13",42529,22,1
"656","4d-13","4d","13",42529,22,1
"657","4d-14","4d","14",42530,21,1
"658","4d-14","4d","14",42530,21,1
"659","4d-14","4d","14",42530,21,1
"660","4d-14","4d","14",42530,21,1
